episode,total_reward
1,-1318.0903198495507
2,-1506.026158258319
3,-1505.50081756711
4,-1495.404437981546
5,-1506.1332104504108
6,-1504.8700786978006
7,-1506.6379169076681
8,-1506.2126064226031
9,-1506.188120663166
10,-1506.090799331665
11,-1504.9626842960715
12,-1505.6354718878865
13,-1501.5940336883068
14,-683.6269626463263
15,-703.5822649201749
16,-688.1471743852358
17,-761.9161303472591
18,-614.1985708327127
19,-606.1696589324542
20,-595.1800653483896
21,-572.1197887012783
22,-579.890355771318
23,-581.8277731548866
24,-582.4107914625579
25,-610.0930787139049
26,-587.5743564583508
27,-575.5101444563633
28,-559.1857115157608
29,-567.3396609584325
30,-582.5037894615427
31,-563.4060017467888
32,-561.4482248867843
33,-571.9525867599226
34,-570.416824079352
35,-569.6479526599843
36,-568.720130790334
37,-561.045083009167
38,-572.75724628461
39,-586.2796169067028
40,-572.3802393936008
41,-571.8321616135679
42,-560.7749700711756
43,-574.831725977954
44,-571.1226736763399
45,-583.6121071646647
46,-581.5662163489635
47,-576.7965942456616
48,-594.8124424024046
49,-557.5467961947797
50,-569.0591634182613
51,-588.6629798348001
52,-574.8709275836239
53,-593.004540270651
54,-612.8953606897102
55,-581.7857540932988
56,-582.2599096135949
57,-564.1580438855727
58,-588.3099954480415
59,-601.9712961665688
60,-580.4409403451873
61,-580.5632416743573
62,-584.5428589278367
63,-574.648468263388
64,-578.035286389518
65,-606.276632407602
66,-554.4117455698383
67,-567.2764197009527
68,-606.8093040388061
69,-555.7071647295938
70,-583.0885717098759
71,-567.2122278771973
72,-578.3870071200546
73,-568.7848031193578
74,-574.8974778022284
75,-568.5026360442021
76,-613.3163926204444
77,-550.2996728849695
78,-574.1185362157478
79,-584.3694936136142
80,-601.3887156826448
81,-579.473863114413
82,-571.6736037274396
83,-572.7930336305542
84,-579.8905943894962
85,-568.8400594103067
86,-577.3722236613756
87,-590.6952983337416
88,-571.949486586602
89,-561.9583231947945
90,-577.022824170713
91,-615.1688038376998
92,-569.7039914596071
93,-584.1572552298313
94,-585.7929428483146
95,-629.0525156631159
96,-575.706446165581
97,-573.6598897990094
98,-602.3111227199041
99,-578.0849017245314
100,-585.7038655107574
101,-582.6662561331333
102,-620.2086403872493
103,-560.9969797276501
104,-572.580689428141
105,-573.7542799782814
106,-576.46015212391
107,-588.5214150629517
108,-589.3474137698847
109,-592.8193787561485
110,-578.4297677624405
111,-591.2586323997148
112,-594.9963212932485
113,-587.3695860191975
114,-577.6052024734087
115,-571.0247781023309
116,-615.6541043610258
117,-573.5680321299758
118,-613.180342931396
119,-580.147693655855
120,-588.825142734376
121,-584.2160814013015
122,-601.0256654794084
123,-579.1857008860908
124,-567.0625613580808
125,-579.6889277163668
126,-590.1878206349054
127,-585.8588222145553
128,-589.2467601191041
129,-557.9140012626443
130,-579.677650335719
131,-594.711389516679
132,-569.0352533790006
133,-586.1942589005282
134,-567.3409250082238
135,-562.4273465890916
136,-561.3619791910521
137,-579.8484163510291
138,-606.2894697403831
139,-573.6318691020891
140,-577.617651854602
141,-597.8652321847242
142,-557.5354824615907
143,-567.9599179329122
144,-573.3833286162281
145,-540.4257866216195
146,-552.4765615307721
147,-581.2422723430809
148,-585.3685786267449
149,-568.5281839725696
150,-577.3137860326789
151,-586.405766485294
152,-576.3138445200204
153,-606.0160527361284
154,-575.0582165130168
155,-579.8750179176993
156,-577.4813882079296
157,-576.772583858101
158,-561.865362586987
159,-566.9509692620519
160,-550.4787348055818
161,-578.158581071652
162,-583.5318953674189
163,-593.4090831311598
164,-597.258607514822
165,-570.2281163440741
166,-579.8417354550036
167,-570.4232191061477
168,-563.8092112871202
