episode,total_reward
1,-66.0
2,-47.0
3,-33.0
4,-34.0
5,-32.0
6,-33.0
7,-38.0
8,-36.0
9,-35.0
10,-32.0
11,-32.0
12,-33.0
13,-32.0
14,-31.0
15,-40.0
16,-34.0
17,-79.0
18,-34.0
19,-43.0
20,-110.0
21,-89.0
22,-54.0
23,-57.0
24,-50.0
25,-47.0
26,-47.0
27,-50.0
28,-44.0
29,-46.0
30,-43.0
31,-49.0
32,-48.0
33,-41.0
34,-49.0
35,-148.0
36,-147.0
37,-50.0
38,-73.0
39,-55.0
40,-50.0
41,-62.0
42,-148.0
43,-151.0
44,-57.0
45,-54.0
46,-52.0
47,-51.0
48,-44.0
49,-37.0
50,-38.0
51,-38.0
52,-35.0
53,-33.0
54,-35.0
55,-33.0
56,-39.0
57,-34.0
58,-39.0
59,-37.0
60,-35.0
61,-40.0
62,-33.0
63,-37.0
64,-37.0
65,-34.0
66,-39.0
67,-35.0
68,-39.0
69,-41.0
70,-32.0
71,-35.0
72,-35.0
73,-34.0
74,-36.0
75,-38.0
76,-36.0
77,-35.0
78,-35.0
79,-34.0
80,-37.0
81,-34.0
82,-34.0
83,-33.0
84,-37.0
85,-39.0
86,-42.0
87,-48.0
88,-49.0
89,-49.0
90,-49.0
91,-53.0
92,-63.0
93,-53.0
94,-57.0
95,-102.0
96,-55.0
97,-49.0
98,-47.0
99,-51.0
100,-47.0
101,-62.0
102,-43.0
103,-44.0
104,-39.0
105,-33.0
106,-35.0
107,-33.0
108,-33.0
109,-33.0
110,-34.0
111,-34.0
112,-39.35199596107245
113,-33.0
114,-37.0
115,-40.0
116,-35.0
117,-40.0
118,-151.0
119,-62.0
120,-63.0
121,-48.0
122,-41.0
123,-38.0
124,-52.0
125,-39.0
126,-38.0
127,-42.0
128,-42.0
129,-148.0
130,-42.0
131,-46.0
132,-41.0
133,-42.0
134,-43.0
135,-47.0
136,-44.0
137,-48.0
138,-45.0
139,-36.0
140,-46.0
141,-48.0
142,-47.0
143,-45.0
144,-48.0
145,-49.0
146,-53.0
147,-56.0
148,-48.0
149,-47.0
150,-42.0
151,-47.0
152,-46.0
153,-41.0
154,-52.0
155,-147.0
156,-147.0
157,-84.0
158,-74.0
159,-55.0
160,-35.0
161,-60.0
162,-32.0
163,-33.0
164,-50.0
165,-34.0
166,-32.0
167,-31.0
168,-36.0
169,-34.0
170,-32.0
171,-37.0
172,-50.0
173,-32.0
174,-32.0
175,-52.0
176,-32.0
177,-37.0
178,-32.0
179,-34.0
180,-32.0
181,-32.0
182,-33.0
183,-36.0
184,-32.0
185,-35.0
186,-32.0
187,-33.0
188,-32.0
189,-34.0
190,-36.0
191,-32.0
192,-33.0
193,-32.0
194,-32.0
195,-35.0
196,-36.0
197,-32.0
198,-32.0
199,-34.0
200,-32.0
201,-31.0
202,-40.0
203,-33.0
204,-33.0
205,-32.0
206,-38.0
207,-31.0
208,-33.0
209,-34.0
210,-32.0
211,-32.0
212,-34.0
213,-34.0
214,-34.0
215,-32.0
216,-33.0
217,-33.0
218,-32.0
219,-33.0
220,-32.0
221,-32.0
222,-34.0
223,-33.0
224,-32.0
225,-32.0
226,-32.0
227,-32.0
228,-31.0
229,-32.0
230,-34.0
231,-34.0
232,-34.0
233,-32.0
234,-34.0
235,-32.0
236,-34.0
237,-31.0
238,-32.0
239,-36.0
240,-32.0
241,-32.0
242,-33.0
243,-32.0
244,-32.0
245,-33.0
246,-32.0
247,-33.0
248,-32.0
249,-34.0
250,-34.0
251,-34.0
252,-33.0
253,-36.0
254,-36.0
255,-32.0
256,-37.0
257,-36.0
258,-32.0
259,-32.0
260,-33.0
261,-32.0
262,-32.0
263,-32.0
264,-32.0
265,-32.0
266,-32.0
267,-32.0
268,-34.0
269,-33.0
270,-32.0
271,-32.0
272,-31.0
273,-38.0
274,-32.0
275,-35.0
276,-32.0
277,-32.0
278,-32.0
279,-36.0
280,-32.0
281,-32.0
282,-32.0
283,-34.0
284,-32.0
285,-32.0
286,-35.0
287,-33.0
288,-34.0
289,-32.0
290,-32.0
291,-32.0
292,-34.0
293,-32.0
294,-34.0
295,-32.0
296,-32.0
297,-33.0
298,-32.0
299,-33.0
300,-32.0
301,-32.0
302,-36.0
303,-34.0
304,-34.0
305,-32.0
306,-33.0
307,-32.0
308,-32.0
309,-32.0
310,-32.0
311,-32.0
312,-32.0
313,-32.0
314,-31.0
315,-33.0
316,-33.0
317,-33.0
318,-36.0
319,-34.0
320,-34.0
321,-32.0
322,-32.0
323,-34.0
324,-34.0
325,-32.0
326,-32.0
327,-33.0
328,-32.0
329,-32.0
330,-32.0
331,-32.0
332,-32.0
333,-32.0
334,-32.0
335,-33.0
336,-32.0
337,-33.0
338,-32.0
339,-33.0
340,-37.0
341,-34.0
342,-33.0
343,-32.0
344,-34.0
345,-32.0
346,-32.0
347,-34.0
348,-32.0
349,-34.0
350,-32.0
351,-35.0
352,-32.0
353,-35.0
354,-32.0
355,-34.0
356,-32.0
357,-34.0
358,-34.0
359,-33.0
360,-33.0
361,-33.0
362,-32.0
363,-33.0
364,-32.0
365,-32.0
366,-34.0
367,-34.0
368,-34.0
369,-31.0
370,-36.0
371,-32.0
372,-32.0
373,-32.0
374,-33.0
375,-35.0
376,-36.0
377,-34.0
378,-33.0
379,-33.0
380,-31.0
381,-32.0
382,-32.0
383,-33.0
384,-32.0
385,-32.0
386,-33.0
387,-32.0
388,-34.0
389,-32.0
390,-32.0
391,-32.0
392,-34.0
393,-34.0
394,-34.0
395,-33.0
396,-36.0
397,-32.0
398,-31.0
399,-34.0
400,-35.0
401,-32.0
402,-34.0
403,-32.0
404,-32.0
405,-34.0
406,-33.0
407,-37.0
408,-33.0
409,-33.0
410,-36.0
411,-34.0
412,-33.0
413,-31.0
414,-33.0
415,-36.0
416,-30.0
417,-32.0
418,-33.0
419,-33.0
420,-32.0
421,-32.0
422,-30.0
423,-31.0
424,-32.0
425,-34.0
426,-32.0
427,-32.0
428,-34.0
429,-31.0
430,-36.0
431,-32.0
432,-35.0
433,-32.0
434,-35.0
435,-33.0
436,-32.0
437,-32.0
438,-32.0
439,-31.0
440,-32.0
441,-31.0
442,-32.0
443,-32.0
444,-33.0
445,-31.0
446,-33.0
447,-33.0
448,-36.0
449,-34.0
450,-33.0
451,-32.0
452,-32.0
453,-34.0
454,-33.0
455,-32.0
456,-33.0
457,-32.0
458,-32.0
459,-32.0
460,-32.0
461,-32.0
462,-31.0
463,-36.0
464,-32.0
465,-33.0
466,-32.0
467,-34.0
468,-32.0
469,-32.0
470,-32.0
471,-33.0
472,-31.0
473,-36.0
474,-32.0
475,-36.0
476,-34.0
477,-33.0
478,-32.0
479,-32.0
480,-32.0
481,-33.0
482,-32.0
483,-33.0
484,-33.0
485,-32.0
486,-32.0
487,-34.0
488,-32.0
489,-32.0
490,-34.0
491,-33.0
492,-33.0
493,-32.0
494,-32.0
495,-33.0
496,-32.0
497,-33.0
498,-33.0
499,-32.0
500,-32.0
501,-32.0
502,-32.0
503,-36.0
504,-31.0
505,-32.0
506,-32.0
507,-33.0
508,-36.0
509,-31.0
510,-36.0
511,-33.0
512,-33.0
513,-33.0
514,-32.0
515,-34.0
516,-32.0
517,-33.0
518,-33.0
519,-34.0
520,-32.0
521,-32.0
522,-32.0
523,-32.0
524,-31.0
525,-34.0
526,-32.0
527,-32.0
528,-33.0
529,-35.0
530,-32.0
531,-34.0
532,-32.0
533,-34.0
534,-32.0
535,-33.0
536,-35.0
537,-31.0
538,-36.0
539,-34.0
540,-32.0
541,-33.0
542,-32.0
543,-32.0
544,-32.0
545,-36.0
546,-32.0
547,-32.0
548,-31.0
549,-32.0
550,-32.0
551,-34.0
552,-32.0
553,-32.0
554,-32.0
555,-33.0
556,-32.0
557,-32.0
558,-33.0
559,-32.0
560,-34.0
561,-34.0
562,-32.0
563,-34.0
564,-32.0
565,-33.0
566,-32.0
567,-32.0
568,-32.0
569,-32.0
570,-32.0
571,-33.0
572,-32.0
573,-32.0
574,-32.0
575,-31.0
576,-36.0
577,-31.0
578,-32.0
579,-34.0
580,-33.0
581,-33.0
582,-33.0
583,-32.0
584,-32.0
585,-34.0
586,-32.0
587,-32.0
588,-32.0
589,-32.0
590,-34.0
591,-34.0
592,-36.0
593,-34.0
594,-34.0
595,-34.0
596,-34.0
597,-32.0
598,-32.0
599,-35.349662224879815
600,-33.0
601,-34.0
602,-34.0
603,-32.0
604,-32.0
605,-32.0
606,-32.0
607,-32.0
608,-32.0
609,-32.0
610,-32.0
611,-32.0
612,-32.0
613,-32.0
614,-34.0
615,-32.0
616,-32.0
617,-32.0
618,-32.0
619,-33.0
620,-33.0
621,-34.0
622,-34.0
623,-32.0
624,-33.0
625,-33.0
626,-35.0
627,-32.0
628,-33.0
629,-32.0
630,-36.0
631,-33.0
632,-32.0
633,-32.0
634,-37.0
635,-32.0
636,-32.0
637,-32.0
638,-34.0
639,-32.0
640,-32.0
641,-32.0
642,-33.0
